Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C16, C17, C3, C5, C7, C9",C_0402,12,100nF,C1525
C15,C_0402,1,10uF,C15525
C19,C_0805,1,22uF,C45783
C2,C_0402,1,10nF,C15195
C21,C_0402,1,330pF,C13533
C23,C_0603,1,10uF,C96446
C6,C_0402,1,1uF,C52923
D1,D_0603,1,Red,C2286
"D2, D5",D_SOD-123,2,B5819W,C64885
"D3, D4",D_SOD-123,2,1N4148W,C81598
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C3020560
L1,IND_VLS3012CX-2R2M-1,1,VLS3012CX-2R2M-1,C2683174
"R1, R18, R21",R_0402,3,1kΩ,C11702
"R10, R24",R_0402,2,5.1kΩ,C25905
"R11, R5, R6",R_0603,3,150kΩ,C22807
"R12, R2",R_0402,2,1MΩ,C26083
R13,R_0402,1,20kΩ,C25765
R14,R_0402,1,100kΩ,C25741
"R15, R16, R3, R7, R8, R9",R_0402,6,10kΩ,C25744
"R19, R4",R_0603,2,75kΩ,C23242
RV1,RES_C01R00-L,1,PVG3A104C01R00,C5713245
"S1, S2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,"Tactile Button, 160gf",C318884
"U2, U3, U4",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,3,TL072CDT,C6961
U5,Diodes_UDFN-10_1x2.5mm_P0.5mm,1,D3V3XA4B10LP,C1980462
U7,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,C2913206
U9,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,1,TPS62152,C2070611
