Designator,Mid X,Mid Y,Rotation,Layer
C1,186.0,-109.75,270.0,top
C10,160.75,-103.5,90.0,top
C11,166.25,-110.5,270.0,top
C12,153.5,-110.0,0.0,top
C13,159.75,-105.75,90.0,top
C14,220.75,-93.0,0.0,top
C15,220.75,-93.85,0.0,top
C16,204.25,-105.25,180.0,top
C17,204.5,-101.3,180.0,top
C19,192.16,-100.25,180.0,top
C2,163.0,-111.5,90.0,top
C21,189.91,-95.75,90.0,top
C23,189.66,-98.25,270.0,top
C3,211.6,-93.9,0.0,top
C5,180.0,-103.5,270.0,top
C6,179.19,-108.08,0.0,top
C7,167.1,-103.5,270.0,top
C9,171.51,-110.42,180.0,top
D1,195.66,-100.0,0.0,top
D2,213.8,-92.2,180.0,top
D3,175.44,-105.33,180.0,top
D4,175.44,-108.08,0.0,top
D5,208.8,-92.2,180.0,top
J2,195.0934,-110.748,0.0,top
L1,196.91,-97.5,0.0,top
R1,186.69,-106.58,90.0,top
R10,191.5934,-105.098,180.0,top
R11,163.5,-101.8,180.0,top
R12,153.0,-103.5,0.0,top
R13,171.19,-102.08,180.0,top
R14,195.91,-95.25,0.0,top
R15,204.25,-104.25,180.0,top
R16,160.75,-107.25,270.0,top
R18,182.9,-98.0,180.0,top
R19,178.8,-105.7,270.0,top
R2,159.84,-108.08,90.0,top
R21,198.16,-99.75,180.0,top
R24,198.0934,-105.098,0.0,top
R3,170.2,-111.5,0.0,top
R4,181.8,-110.8,180.0,top
R5,167.0,-105.92,90.0,top
R6,161.8,-111.82,270.0,top
R7,165.94,-102.08,0.0,top
R8,170.19,-101.08,0.0,top
R9,169.19,-102.08,0.0,top
RV1,181.3,-100.4,90.0,top
S1,204.5,-98.0,90.0,top
S2,204.25,-108.5,90.0,top
U2,163.69,-106.58,270.0,top
U3,170.2,-107.0,270.0,top
U4,183.19,-106.33,270.0,top
U5,194.3354,-104.902,270.0,top
U7,216.15,-102.3112,270.0,top
U9,192.58,-97.08,180.0,top
